Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           536  
profit                 -89  
profitPct              -14  
growth                 1    
totalTrades            3    
barCount               2    
maxDrawdown            -89  
maxDrawdownPct         -14  
maxRiskPct             5    
expectency             -1   
rmultipleStdDev        0    
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -30  
numWinningTrades       0    
numLosingTrades        3    
averageWinningTrade    0    
averageLosingTrade     -1   
expectedValue          -1   
