Metric                 Value
---------------------  -----
startingCapital        10000
finalCapital           8114 
profit                 -1886
profitPct              -19  
growth                 1    
totalTrades            80   
barCount               396  
maxDrawdown            -5247
maxDrawdownPct         -43  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           1    
proportionProfitable   1    
percentProfitable      57   
returnOnAccount        0    
averageProfitPerTrade  -24  
numWinningTrades       46   
numLosingTrades        34   
averageWinningTrade    5    
averageLosingTrade     -7   
expectedValue          0    
