direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/07/02,18.44,2020/07/09,19.94,1.5,8.134490238611713,1.081344902386117,2.000000000000001,,4.067245119305854,3,exit-rule,18.0712,,,[object Object],834.5,834.6,815.71,818.87,8089700,2020-05-25T23:00:00.000Z,1,7,0,,814.2457142857141,,803.4130752426578,66.48444617987762
1,2020/07/15,21.11,2020/07/16,20.6878,-0.42220000000000013,-2.000000000000001,0.98,2.000000000000001,,-1,0,stop-loss,20.6878,,,[object Object],447.94,451,428.8,442.15,86406819,2020-09-17T23:00:00.000Z,1,4,0,956.1053333333331,417.2542857142857,783.3690796510017,439.08896320042385,57.66516470176738
1,2020/07/22,22.2,2020/07/23,21.756,-0.44399999999999906,-1.9999999999999958,0.9800000000000001,1.9999999999999958,,-1,0,stop-loss,21.756,,,[object Object],422.7,432.95,421.25,422.64,32370461,2020-10-20T23:00:00.000Z,1,6,0,424.71699999999987,438.8442857142857,506.39564979135525,431.88756408363633,41.06066974919433
1,2020/07/28,22.24,2020/07/30,24,1.7600000000000016,7.913669064748209,1.0791366906474822,2.0000000000000036,,3.9568345323740974,1,exit-rule,21.795199999999998,,,[object Object],540.4,559.99,526.2,555.38,52058771,2020-11-24T00:00:00.000Z,1,4,0,436.8806666666667,486.06428571428575,462.5904803346896,496.4334974895272,79.56965590073045
1,2020/08/03,25.63,2020/08/06,27.5,1.870000000000001,7.296137339055798,1.072961373390558,1.9999999999999962,,3.648068669527906,2,exit-rule,25.1174,,,[object Object],240.39,242.61,238.22,241.57,9340944,2020-06-17T23:00:00.000Z,1,6,0,192.27900000000002,231.78857142857143,383.0336878676134,231.81982499272888,75.84283692666278
1,2020/08/13,25.97,2020/08/17,28.99,3.0199999999999996,11.628802464381979,1.1162880246438198,2.000000000000004,,5.814401232190978,1,exit-rule,25.450599999999998,,,[object Object],274.45,290.88,273.99,290.69,9318392,2020-08-19T23:00:00.000Z,1,5,0,258.2946666666666,262.29,266.3544668106084,269.2213819051538,63.81875563570784
1,2020/10/22,27.41,2020/10/26,29.88,2.469999999999999,9.011309740970445,1.0901130974097044,2.000000000000005,,4.505654870485211,1,exit-rule,26.8618,,,[object Object],279,293.7216,275.8101,290.44,4602867,2020-08-24T23:00:00.000Z,1,8,0,260.502,281.36428571428576,270.1864983063317,279.8515204912367,56.780578320705125
1,2020/11/13,48.65,2020/11/16,47.677,-0.972999999999999,-1.999999999999998,0.98,1.999999999999998,,-1,0,stop-loss,47.677,,,[object Object],389,417.82,387,413.125,9260430,2020-09-16T23:00:00.000Z,1,5,0,323.23283333333336,398.98214285714283,344.2023960333833,398.97852289970547,66.8770749918069
1,2020/11/18,45.66,2020/11/24,51.51,5.850000000000001,12.812089356110384,1.1281208935611038,2.000000000000007,,6.406044678055169,3,exit-rule,44.74679999999999,,,[object Object],494,520,493,518.79,8941474,2020-10-12T23:00:00.000Z,1,4,0,448.40116666666665,489.36,442.5095067151728,493.08897256489456,55.278066828535096
1,2020/11/27,53.7,2020/11/30,52.626000000000005,-1.073999999999998,-1.9999999999999962,0.98,1.9999999999999962,,-1,0,stop-loss,52.626000000000005,,,[object Object],435.85,448.48,433.3301,443.72,8763739,2020-11-25T00:00:00.000Z,1,5,0,468.6836666666667,424.58714285714296,446.139942371365,429.36927723390136,40.526146477463634
1,2020/12/02,54,2020/12/07,56.79,2.789999999999999,5.166666666666665,1.0516666666666667,1.999999999999997,,2.5833333333333366,2,exit-rule,52.92,,,[object Object],403.8,408.11,398.25,406.01,6174772,2020-12-18T00:00:00.000Z,1,5,0,416.87000000000006,400.2885714285715,421.2504466897191,402.9882790840532,25.070636069188865
1,2020/12/09,59.55,2020/12/10,58.358999999999995,-1.1910000000000025,-2.000000000000004,0.98,2.000000000000004,,-1,0,stop-loss,58.358999999999995,,,[object Object],118.02,126.68,118.01,124.46,7595200,2020-07-07T23:00:00.000Z,1,6,0,99.265,114.26571428571428,137.73621335090596,115.07345803766489,67.54124428543034
