Metric                 Value
---------------------  -----
startingCapital        526  
finalCapital           1431 
profit                 905  
profitPct              172  
growth                 3    
totalTrades            7    
barCount               4    
maxDrawdown            -29  
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             9    
rmultipleStdDev        13   
systemQuality          1    
profitFactor           13   
proportionProfitable   1    
percentProfitable      57   
returnOnAccount        86   
averageProfitPerTrade  129  
numWinningTrades       4    
numLosingTrades        3    
averageWinningTrade    11   
averageLosingTrade     -1   
expectedValue          6    
