Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           159  
profit                 -341 
profitPct              -68  
growth                 0    
totalTrades            1    
barCount               81   
maxDrawdown            -341 
maxDrawdownPct         -68  
maxRiskPct             NaN  
expectency             NaN  
rmultipleStdDev        NaN  
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -341 
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     -34  
expectedValue          -34  
