Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           993  
profit                 368  
profitPct              59   
growth                 2    
totalTrades            12   
barCount               10   
maxDrawdown            -32  
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        4    
systemQuality          1    
profitFactor           6    
proportionProfitable   1    
percentProfitable      58   
returnOnAccount        15   
averageProfitPerTrade  31   
numWinningTrades       7    
numLosingTrades        5    
averageWinningTrade    4    
averageLosingTrade     -1   
expectedValue          2    
