Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           703  
profit                 203  
profitPct              41   
growth                 1    
totalTrades            15   
barCount               12   
maxDrawdown            -35  
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           4    
proportionProfitable   1    
percentProfitable      60   
returnOnAccount        7    
averageProfitPerTrade  14   
numWinningTrades       9    
numLosingTrades        6    
averageWinningTrade    4    
averageLosingTrade     -2   
expectedValue          2    
