Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           113  
profit                 13   
profitPct              13   
growth                 1    
totalTrades            17   
barCount               35   
maxDrawdown            -40  
maxDrawdownPct         -40  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      18   
returnOnAccount        0    
averageProfitPerTrade  1    
numWinningTrades       3    
numLosingTrades        14   
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
