Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           241  
profit                 141  
profitPct              141  
growth                 2    
totalTrades            22   
barCount               15   
maxDrawdown            -11  
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        5    
systemQuality          0    
profitFactor           4    
proportionProfitable   0    
percentProfitable      45   
returnOnAccount        24   
averageProfitPerTrade  6    
numWinningTrades       10   
numLosingTrades        12   
averageWinningTrade    2    
averageLosingTrade     0    
expectedValue          1    
