Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           1240 
profit                 615  
profitPct              98   
growth                 2    
totalTrades            3    
barCount               42   
maxDrawdown            -48  
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             6    
rmultipleStdDev        6    
systemQuality          1    
profitFactor           12   
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        20   
averageProfitPerTrade  205  
numWinningTrades       2    
numLosingTrades        1    
averageWinningTrade    11   
averageLosingTrade     -2   
expectedValue          7    
