Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           79   
profit                 -21  
profitPct              -21  
growth                 1    
totalTrades            1    
barCount               247  
maxDrawdown            -21  
maxDrawdownPct         -21  
maxRiskPct             NaN  
expectency             NaN  
rmultipleStdDev        NaN  
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -21  
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     -3   
expectedValue          -3   
