direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2020/12/24,7.03,2020/12/24,6.6785000000000005,-0.3514999999999997,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,0,stop-loss,6.6785000000000005,,
long,2020/12/24,7.55,2020/12/24,7.172499999999999,-0.3775000000000004,-5.000000000000005,0.95,5.000000000000005,,-1,2,stop-loss,7.172499999999999,,
long,2020/12/24,7.43,2020/12/24,7.0584999999999996,-0.37150000000000016,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,7.0584999999999996,,
long,2020/12/24,5.79,2020/12/24,5.5005,-0.2895000000000003,-5.000000000000005,0.95,5.000000000000005,,-1,5,stop-loss,5.5005,,
long,2020/12/24,4,2020/12/24,3.8,-0.20000000000000018,-5.000000000000004,0.95,5.000000000000004,,-1,0,stop-loss,3.8,,
long,2020/12/24,4.01,2020/12/24,3.8095,-0.2004999999999999,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,0,stop-loss,3.8095,,
long,2020/12/24,3.4,2020/12/24,3.23,-0.16999999999999993,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,12,stop-loss,3.23,,
long,2020/12/24,3.63,2020/12/24,3.4485,-0.18149999999999977,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,1,stop-loss,3.4485,,
long,2020/12/24,3.08,2020/12/24,2.926,-0.15399999999999991,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,6,stop-loss,2.926,,
long,2020/12/24,2.67,2020/12/24,2.5364999999999998,-0.13350000000000017,-5.000000000000006,0.95,5.000000000000006,,-1,3,stop-loss,2.5364999999999998,,
long,2020/12/24,2.51,2020/12/24,2.3844999999999996,-0.12550000000000017,-5.000000000000007,0.95,5.000000000000007,,-1,7,stop-loss,2.3844999999999996,,
long,2020/12/24,2.3,2020/12/24,2.1849999999999996,-0.11500000000000021,-5.00000000000001,0.95,5.00000000000001,,-1,0,stop-loss,2.1849999999999996,,
long,2020/12/24,2.87,2020/12/24,2.7265,-0.14349999999999996,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,52,stop-loss,2.7265,,
long,2020/12/24,2.63,2020/12/24,2.4985,-0.13149999999999995,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,5,stop-loss,2.4985,,
long,2020/12/24,2.3,2020/12/24,2.1849999999999996,-0.11500000000000021,-5.00000000000001,0.95,5.00000000000001,,-1,1,stop-loss,2.1849999999999996,,
long,2020/12/24,2.32,2020/12/24,2.2039999999999997,-0.1160000000000001,-5.000000000000004,0.95,5.000000000000004,,-1,4,stop-loss,2.2039999999999997,,
long,2020/12/24,2.12,2020/12/24,2.0140000000000002,-0.10599999999999987,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,0,stop-loss,2.0140000000000002,,
long,2020/12/24,1.87,2020/12/24,1.7765000000000002,-0.09349999999999992,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,0,stop-loss,1.7765000000000002,,
long,2020/12/24,1.88,2020/12/24,1.7859999999999998,-0.09400000000000008,-5.000000000000004,0.95,5.000000000000004,,-1,0,stop-loss,1.7859999999999998,,
long,2020/12/24,1.9,2020/12/24,1.805,-0.09499999999999997,-4.999999999999999,0.9500000000000001,4.999999999999999,,-1,1,stop-loss,1.805,,
long,2020/12/24,2.11,2020/12/24,2.0044999999999997,-0.10550000000000015,-5.000000000000007,0.95,5.000000000000007,,-1,0,stop-loss,2.0044999999999997,,
long,2020/12/24,1.65,2020/12/24,1.5675,-0.08250000000000002,-5.000000000000002,0.95,5.000000000000002,,-1,0,stop-loss,1.5675,,
long,2020/12/24,1.42,2020/12/24,1.349,-0.07099999999999995,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,19,stop-loss,1.349,,
long,2020/12/24,1.72,2020/12/24,9.8,8.08,469.76744186046517,5.6976744186046515,5.000000000000004,,93.95348837209293,144,exit-rule,1.634,,
long,2020/12/24,7.55,2020/12/24,7.172499999999999,-0.3775000000000004,-5.000000000000005,0.95,5.000000000000005,,-1,2,stop-loss,7.172499999999999,,
long,2020/12/24,8,2020/12/24,7.95,-0.04999999999999982,-0.6249999999999978,0.99375,5.000000000000004,,-0.12499999999999944,1,exit-rule,7.6,,
long,2020/12/24,6.68,2020/12/24,6.346,-0.33399999999999963,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,13,stop-loss,6.346,,
long,2020/12/24,6.19,2020/12/24,5.8805000000000005,-0.3094999999999999,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,6,stop-loss,5.8805000000000005,,
long,2020/12/24,6.82,2020/12/24,7.55,0.7299999999999995,10.703812316715537,1.1070381231671553,5.000000000000003,,2.140762463343106,4,exit-rule,6.479,,
long,2020/12/24,7.08,2020/12/24,6.726,-0.3540000000000001,-5.000000000000001,0.95,5.000000000000001,,-1,2,stop-loss,6.726,,
long,2020/12/24,8.1,2020/12/24,7.694999999999999,-0.40500000000000025,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,7.694999999999999,,
long,2020/12/24,7.61,2020/12/24,7.65,0.040000000000000036,0.5256241787122212,1.0052562417871223,5.000000000000006,,0.1051248357424441,2,exit-rule,7.2295,,
long,2020/12/24,7.15,2020/12/24,6.7925,-0.35749999999999993,-4.999999999999999,0.9500000000000001,4.999999999999999,,-1,1,stop-loss,6.7925,,
