Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           700  
profit                 75   
profitPct              12   
growth                 1    
totalTrades            17   
barCount               5    
maxDrawdown            -145 
maxDrawdownPct         -17  
maxRiskPct             2    
expectency             0    
rmultipleStdDev        4    
systemQuality          0    
profitFactor           0    
proportionProfitable   0    
percentProfitable      24   
returnOnAccount        1    
averageProfitPerTrade  4    
numWinningTrades       4    
numLosingTrades        13   
averageWinningTrade    1    
averageLosingTrade     -2   
expectedValue          -1   
