Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           132  
profit                 32   
profitPct              32   
growth                 1    
totalTrades            18   
barCount               39   
maxDrawdown            -5   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           3    
proportionProfitable   1    
percentProfitable      56   
returnOnAccount        8    
averageProfitPerTrade  2    
numWinningTrades       10   
numLosingTrades        8    
averageWinningTrade    7    
averageLosingTrade     -4   
expectedValue          2    
