Metric                 Value 
---------------------  ------
startingCapital        10000 
finalCapital           11383 
profit                 1383  
profitPct              14    
growth                 1     
totalTrades            505   
barCount               1609  
maxDrawdown            -11748
maxDrawdownPct         -89   
maxRiskPct             5     
expectency             0     
rmultipleStdDev        2     
systemQuality          0     
profitFactor           1     
proportionProfitable   0     
percentProfitable      38    
returnOnAccount        0     
averageProfitPerTrade  3     
numWinningTrades       191   
numLosingTrades        314   
averageWinningTrade    1     
averageLosingTrade     -1    
expectedValue          0     
