Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           102  
profit                 2    
profitPct              2    
growth                 1    
totalTrades            22   
barCount               10   
maxDrawdown            -12  
maxDrawdownPct         -11  
maxRiskPct             2    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      23   
returnOnAccount        0    
averageProfitPerTrade  0    
numWinningTrades       5    
numLosingTrades        17   
averageWinningTrade    4    
averageLosingTrade     -1   
expectedValue          0    
