Metric                 Value
---------------------  -----
startingCapital        135  
finalCapital           145  
profit                 10   
profitPct              8    
growth                 1    
totalTrades            5    
barCount               10   
maxDrawdown            -3   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        4    
averageProfitPerTrade  2    
numWinningTrades       2    
numLosingTrades        3    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
