Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           103  
profit                 3    
profitPct              3    
growth                 1    
totalTrades            7    
barCount               45   
maxDrawdown            -19  
maxDrawdownPct         -19  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      43   
returnOnAccount        0    
averageProfitPerTrade  0    
numWinningTrades       3    
numLosingTrades        4    
averageWinningTrade    3    
averageLosingTrade     -2   
expectedValue          0    
