Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           144  
profit                 44   
profitPct              44   
growth                 1    
totalTrades            6    
barCount               9    
maxDrawdown            -2   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             3    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           29   
proportionProfitable   1    
percentProfitable      83   
returnOnAccount        22   
averageProfitPerTrade  7    
numWinningTrades       5    
numLosingTrades        1    
averageWinningTrade    10   
averageLosingTrade     -2   
expectedValue          8    
