Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           148  
profit                 48   
profitPct              48   
growth                 1    
totalTrades            8    
barCount               5    
maxDrawdown            -20  
maxDrawdownPct         -12  
maxRiskPct             2    
expectency             3    
rmultipleStdDev        9    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      25   
returnOnAccount        4    
averageProfitPerTrade  6    
numWinningTrades       2    
numLosingTrades        6    
averageWinningTrade    102  
averageLosingTrade     -11  
expectedValue          17   
