Metric                 Value
---------------------  -----
startingCapital        526  
finalCapital           663  
profit                 136  
profitPct              26   
growth                 1    
totalTrades            5    
barCount               3    
maxDrawdown            -33  
maxDrawdownPct         -5   
maxRiskPct             2    
expectency             3    
rmultipleStdDev        5    
systemQuality          0    
profitFactor           4    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        5    
averageProfitPerTrade  27   
numWinningTrades       2    
numLosingTrades        3    
averageWinningTrade    3    
averageLosingTrade     -1   
expectedValue          1    
