Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           143  
profit                 43   
profitPct              43   
growth                 1    
totalTrades            5    
barCount               60   
maxDrawdown            -19  
maxDrawdownPct         -19  
maxRiskPct             5    
expectency             2    
rmultipleStdDev        7    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      20   
returnOnAccount        2    
averageProfitPerTrade  9    
numWinningTrades       1    
numLosingTrades        4    
averageWinningTrade    2    
averageLosingTrade     0    
expectedValue          0    
