Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           150  
profit                 50   
profitPct              50   
growth                 2    
totalTrades            6    
barCount               23   
maxDrawdown            -23  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             2    
rmultipleStdDev        8    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      17   
returnOnAccount        2    
averageProfitPerTrade  8    
numWinningTrades       1    
numLosingTrades        5    
averageWinningTrade    11   
averageLosingTrade     -1   
expectedValue          1    
