Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           829  
profit                 204  
profitPct              33   
growth                 1    
totalTrades            11   
barCount               17   
maxDrawdown            -152 
maxDrawdownPct         -21  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           6    
proportionProfitable   1    
percentProfitable      64   
returnOnAccount        2    
averageProfitPerTrade  19   
numWinningTrades       7    
numLosingTrades        4    
averageWinningTrade    9    
averageLosingTrade     -3   
expectedValue          5    
