Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           251  
profit                 151  
profitPct              151  
growth                 3    
totalTrades            15   
barCount               8    
maxDrawdown            -7   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             4    
rmultipleStdDev        7    
systemQuality          1    
profitFactor           9    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        38   
averageProfitPerTrade  10   
numWinningTrades       6    
numLosingTrades        9    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
