direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2020/12/24,19.19,2020/12/24,20.06,0.8699999999999974,4.533611255862414,1.0453361125586242,4.999999999999992,,0.9067222511724845,2,exit-rule,18.230500000000003,,
long,2020/12/24,20.15,2020/12/24,19.06,-1.0899999999999999,-5.409429280397022,0.9459057071960297,5.000000000000002,,-1.081885856079404,1,exit-rule,19.1425,,
long,2020/12/24,17.81,2020/12/24,20.59,2.780000000000001,15.609208309938245,1.1560920830993824,4.9999999999999964,,3.121841661987651,7,exit-rule,16.9195,,
long,2020/12/24,18.3135,2020/12/24,17.397825,-0.9156750000000002,-5.000000000000001,0.95,5.000000000000001,,-1,1,stop-loss,17.397825,,
long,2020/12/24,20.93,2020/12/24,20.98,0.05000000000000071,0.23889154323937273,1.0023889154323937,5.000000000000009,,0.04777830864787446,1,exit-rule,19.883499999999998,,
