direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2010/09/23,19.89,2010/09/27,20.4,0.509999999999998,2.564102564102554,1.0256410256410255,4.999999999999993,,0.5128205128205116,1,exit-rule,18.895500000000002,,
long,2010/10/07,20.57,2010/10/15,20.89,0.3200000000000003,1.5556635877491505,1.0155566358774915,5.000000000000005,,0.3111327175498298,5,exit-rule,19.5415,,
long,2010/10/19,20.2,2010/10/21,20.61,0.41000000000000014,2.0297029702970306,1.0202970297029703,5.000000000000008,,0.40594059405940547,1,exit-rule,19.189999999999998,,
long,2010/12/15,28.67,2010/12/17,31.34,2.669999999999998,9.312870596442266,1.0931287059644226,4.999999999999995,,1.8625741192884553,1,exit-rule,27.236500000000003,,
long,2010/12/27,28.02,2010/12/28,26.619,-1.4009999999999998,-5,0.95,5,,-1,0,stop-loss,26.619,,
long,2010/12/30,27.7,2011/01/03,26.314999999999998,-1.3850000000000016,-5.000000000000006,0.95,5.000000000000006,,-1,1,stop-loss,26.314999999999998,,
long,2011/01/05,26.48,2011/01/18,25.156,-1.3240000000000016,-5.000000000000006,0.95,5.000000000000006,,-1,7,stop-loss,25.156,,
long,2011/01/20,24.03,2011/01/21,22.828500000000002,-1.2014999999999993,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,0,stop-loss,22.828500000000002,,
long,2011/01/25,24.65,2011/02/03,23.417499999999997,-1.2325000000000017,-5.000000000000007,0.95,5.000000000000007,,-1,6,stop-loss,23.417499999999997,,
long,2011/02/07,23.26,2011/02/22,22.097,-1.1630000000000003,-5.000000000000001,0.95,5.000000000000001,,-1,9,stop-loss,22.097,,
long,2011/02/24,21.78,2011/03/01,24.05,2.2699999999999996,10.422405876951329,1.1042240587695134,4.999999999999993,,2.0844811753902683,2,exit-rule,20.691000000000003,,
long,2011/03/15,22.2,2011/03/30,24.11,1.9100000000000001,8.603603603603604,1.086036036036036,4.999999999999997,,1.7207207207207218,10,exit-rule,21.09,,
long,2011/05/18,26.1,2011/05/20,28.26,2.16,8.275862068965518,1.0827586206896551,4.999999999999999,,1.6551724137931039,1,exit-rule,24.795,,
long,2011/06/09,27.43,2011/06/13,28.07,0.6400000000000006,2.3332118118847998,1.023332118118848,5.0000000000000036,,0.4666423623769596,1,exit-rule,26.0585,,
long,2011/06/16,27.67,2011/06/17,26.2865,-1.3835000000000015,-5.000000000000005,0.95,5.000000000000005,,-1,0,stop-loss,26.2865,,
long,2011/06/21,26.24,2011/06/29,28.5,2.2600000000000016,8.612804878048786,1.0861280487804879,5.000000000000004,,1.7225609756097557,5,exit-rule,24.927999999999997,,
long,2011/07/13,28.43,2011/07/18,27.008499999999998,-1.4215000000000018,-5.000000000000006,0.95,5.000000000000006,,-1,2,stop-loss,27.008499999999998,,
long,2011/07/20,28,2011/07/22,28.7,0.6999999999999993,2.4999999999999973,1.025,4.999999999999995,,0.5,1,exit-rule,26.6,,
