Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           95   
profit                 -5   
profitPct              -5   
growth                 1    
totalTrades            1    
barCount               247  
maxDrawdown            -5   
maxDrawdownPct         -5   
maxRiskPct             NaN  
expectency             NaN  
rmultipleStdDev        NaN  
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -5   
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
