Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           459  
profit                 -41  
profitPct              -8   
growth                 1    
totalTrades            1    
barCount               81   
maxDrawdown            -41  
maxDrawdownPct         -8   
maxRiskPct             NaN  
expectency             NaN  
rmultipleStdDev        NaN  
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -41  
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     -24  
expectedValue          -24  
