Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           222  
profit                 122  
profitPct              122  
growth                 2    
totalTrades            17   
barCount               44   
maxDrawdown            -10  
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             3    
rmultipleStdDev        5    
systemQuality          1    
profitFactor           9    
proportionProfitable   1    
percentProfitable      53   
returnOnAccount        21   
averageProfitPerTrade  7    
numWinningTrades       9    
numLosingTrades        8    
averageWinningTrade    2    
averageLosingTrade     0    
expectedValue          1    
