Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           111  
profit                 11   
profitPct              11   
growth                 1    
totalTrades            5    
barCount               46   
maxDrawdown            -2   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           7    
proportionProfitable   1    
percentProfitable      80   
returnOnAccount        6    
averageProfitPerTrade  2    
numWinningTrades       4    
numLosingTrades        1    
averageWinningTrade    1    
averageLosingTrade     -1   
expectedValue          1    
