Metric                 Value
---------------------  -----
startingCapital        3333 
finalCapital           1700 
profit                 -1634
profitPct              -49  
growth                 1    
totalTrades            1    
barCount               143  
maxDrawdown            -1634
maxDrawdownPct         -49  
maxRiskPct             NaN  
expectency             NaN  
rmultipleStdDev        NaN  
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -1634
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     -4   
expectedValue          -4   
