Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           152  
profit                 52   
profitPct              52   
growth                 2    
totalTrades            15   
barCount               52   
maxDrawdown            -3   
maxDrawdownPct         -3   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           6    
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        17   
averageProfitPerTrade  3    
numWinningTrades       10   
numLosingTrades        5    
averageWinningTrade    3    
averageLosingTrade     -1   
expectedValue          2    
