Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           141  
profit                 41   
profitPct              41   
growth                 1    
totalTrades            8    
barCount               8    
maxDrawdown            -7   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             3    
rmultipleStdDev        7    
systemQuality          0    
profitFactor           5    
proportionProfitable   0    
percentProfitable      38   
returnOnAccount        7    
averageProfitPerTrade  5    
numWinningTrades       3    
numLosingTrades        5    
averageWinningTrade    2    
averageLosingTrade     0    
expectedValue          1    
