Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           344  
profit                 244  
profitPct              244  
growth                 3    
totalTrades            19   
barCount               12   
maxDrawdown            -16  
maxDrawdownPct         -8   
maxRiskPct             2    
expectency             4    
rmultipleStdDev        6    
systemQuality          1    
profitFactor           9    
proportionProfitable   1    
percentProfitable      53   
returnOnAccount        31   
averageProfitPerTrade  13   
numWinningTrades       10   
numLosingTrades        9    
averageWinningTrade    3    
averageLosingTrade     0    
expectedValue          2    
