Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           567  
profit                 67   
profitPct              13   
growth                 1    
totalTrades            3    
barCount               79   
maxDrawdown            -28  
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           3    
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        3    
averageProfitPerTrade  22   
numWinningTrades       2    
numLosingTrades        1    
averageWinningTrade    5    
averageLosingTrade     -3   
expectedValue          2    
