direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2020/07/06,71.83,2020/07/08,70.3934,-1.4365999999999985,-1.999999999999998,0.98,1.999999999999998,,-1,1,stop-loss,70.3934,,
long,2020/07/23,76.32,2020/07/29,76.77,0.45000000000000284,0.5896226415094378,1.0058962264150944,1.9999999999999942,,0.2948113207547198,3,exit-rule,74.7936,,
long,2020/08/12,75.5,2020/08/13,73.99,-1.5100000000000051,-2.0000000000000067,0.98,2.0000000000000067,,-1,0,stop-loss,73.99,,
long,2020/09/15,80.94,2020/09/18,84.41,3.469999999999999,4.28712626637015,1.0428712626637016,1.9999999999999918,,2.1435631331850837,2,exit-rule,79.3212,,
long,2020/10/09,86.07,2020/10/13,84.34859999999999,-1.7214000000000027,-2.000000000000003,0.98,2.000000000000003,,-1,1,stop-loss,84.34859999999999,,
long,2020/10/15,84.5,2020/10/22,85.84,1.3400000000000034,1.5857988165680514,1.0158579881656804,1.9999999999999973,,0.7928994082840267,4,exit-rule,82.81,,
long,2020/11/06,86.78,2020/11/11,93.15,6.3700000000000045,7.340401014058544,1.0734040101405855,2.0000000000000058,,3.670200507029261,2,exit-rule,85.0444,,
long,2020/11/16,95.06,2020/11/24,100.9,5.840000000000003,6.143488323164321,1.0614348832316431,2.0000000000000027,,3.071744161582156,5,exit-rule,93.1588,,
long,2020/12/09,103.43,2020/12/14,101.3614,-2.0686000000000035,-2.000000000000003,0.98,2.000000000000003,,-1,2,stop-loss,101.3614,,
