Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           167  
profit                 67   
profitPct              67   
growth                 2    
totalTrades            13   
barCount               7    
maxDrawdown            -8   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        5    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      38   
returnOnAccount        11   
averageProfitPerTrade  5    
numWinningTrades       5    
numLosingTrades        8    
averageWinningTrade    4    
averageLosingTrade     -1   
expectedValue          1    
