Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           131  
profit                 31   
profitPct              31   
growth                 1    
totalTrades            12   
barCount               25   
maxDrawdown            -5   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           4    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        8    
averageProfitPerTrade  3    
numWinningTrades       6    
numLosingTrades        6    
averageWinningTrade    24   
averageLosingTrade     -7   
expectedValue          9    
