. these are the stocks that performed the worst at the coronavirus hit
FCEL
PCG
MUR
MOS
MRO
FLR
RIG
CCL
CGC
PFE
MA
EOD
CAN
AHT
FARM
IBM
JCP
MITT
REPH
TLRY
FLIR
JAMF
