.ARKQ https://ark-funds.com/arkq
TSLA
MTLS
TRMB
DE
BIDU
KTOS
JD
GOOG
IRDM
TSM
BYDDY
NXPI
CAT
WKHS
NNDM
TWOU
KMTUY
PRLB
AVAV
NIU
SPCE
SSYS
TER
SNPS
FLIR
MGA
NVDA
XLNX
ANSS
RAVN
TCEHY
ISRG
AMZN
ROK
TDY
AAPL
LMT
ADSK
ESLT
XONE
