. these are the ones I want to look out for

DVAX
APHA
PLTR
PLUG
BABA
TSLA
NIO
ACB
GME
AI
CRSR
SPCE
TLRY
FCEL
LAZR
CIIC
SOL
QS
JMIA
XPEV
