XXII
AMC
SOL
BNGO
MGNI
SSPK
NSCO
BHTG
WMT
ABBV
HON
DUK
UNP
PEP
JNJ
MCD
AUPH
TPGY
GPM
JAMF
TDA
SHOP
DNN
HTBX
PHX
HCA
PLTK
RTX
PSTH
CSTM
CVM
RETA
ANDR
SPCE
RELI
ANCE
AIN
STRO
AVOI
SRNE
GME
MSFT
NEE
AAPL
BABA
PLTR
NIO
CCIV
