time,close,fractal,gatorJaw,gatorTeeth,gatorLips,sma,smma
2020-08-18T23:00:00.000Z,3.25,0,2.246153846153846,2.3125,2.3,2.511111111111111,3.25
2020-08-19T23:00:00.000Z,3.25,0,2.253846153846154,2.3000000000000003,2.3,2.6166666666666667,3.25
2020-08-20T23:00:00.000Z,3.25,0,2.2615384615384615,2.3000000000000003,2.4899999999999998,2.7222222222222223,3.25
2020-08-23T23:00:00.000Z,3.25,0,2.2692307692307696,2.3000000000000003,2.6799999999999997,2.8277777777777775,3.25
2020-08-24T23:00:00.000Z,3.25,0,2.2769230769230773,2.41875,2.87,2.933333333333333,3.25
2020-08-25T23:00:00.000Z,3.25,0,2.284615384615385,2.5375,3.06,3.038888888888889,3.25
2020-08-26T23:00:00.000Z,3.25,0,2.292307692307693,2.65625,3.25,3.1444444444444444,3.25
2020-08-27T23:00:00.000Z,3.25,0,2.3730769230769235,2.775,3.25,3.25,3.25
2020-08-30T23:00:00.000Z,3.25,0,2.453846153846154,2.89375,3.25,3.25,3.25
2020-08-31T23:00:00.000Z,3.25,0,2.519230769230769,3.0125,3.25,3.25,3.25
2020-09-01T23:00:00.000Z,3.25,0,2.5923076923076924,3.13125,3.25,3.25,3.25
2020-09-02T23:00:00.000Z,3.25,0,2.6653846153846157,3.25,3.25,3.25,3.25
2020-09-03T23:00:00.000Z,3.25,0,2.7384615384615385,3.25,3.25,3.25,3.25
2020-09-07T23:00:00.000Z,3.25,0,2.8115384615384613,3.25,3.25,3.25,3.25
2020-09-08T23:00:00.000Z,3.25,0,2.8846153846153846,3.25,3.25,3.25,3.25
2020-09-09T23:00:00.000Z,3.25,0,2.957692307692308,3.25,3.25,3.25,3.25
2020-09-10T23:00:00.000Z,3.25,0,3.0307692307692307,3.25,3.25,3.25,3.25
2020-09-13T23:00:00.000Z,3.25,0,3.103846153846154,3.25,3.25,3.25,3.25
2020-09-14T23:00:00.000Z,3.25,0,3.1769230769230767,3.25,3.25,3.25,3.25
2020-09-15T23:00:00.000Z,3.25,0,3.25,3.25,3.25,3.25,3.25
2020-09-16T23:00:00.000Z,3.25,0,3.25,3.25,3.25,3.25,3.25
2020-09-17T23:00:00.000Z,3,-1,3.25,3.25,3.25,3.2222222222222223,3
2020-09-20T23:00:00.000Z,3,0,3.25,3.25,3.25,3.1944444444444446,3
2020-09-21T23:00:00.000Z,3,0,3.25,3.25,3.25,3.1666666666666665,3
2020-09-22T23:00:00.000Z,3,0,3.25,3.25,3.2009999999999996,3.138888888888889,3
2020-09-23T23:00:00.000Z,3,0,3.25,3.25,3.151,3.111111111111111,3
2020-09-24T23:00:00.000Z,3,0,3.25,3.219375,3.101,3.0833333333333335,3
2020-09-27T23:00:00.000Z,3,0,3.25,3.188125,3.0509999999999997,3.0555555555555554,3
2020-09-28T23:00:00.000Z,4,0,3.25,3.156875,3.001,3.138888888888889,4
2020-09-29T23:00:00.000Z,4,0,3.2311538461538465,3.125625,3,3.2222222222222223,4
2020-09-30T23:00:00.000Z,4,0,3.2119230769230773,3.094375,3,3.3333333333333335,4
2020-10-01T23:00:00.000Z,4,0,3.1926923076923077,3.063125,3.2,3.4444444444444446,4
2020-10-04T23:00:00.000Z,4,0,3.1734615384615386,3.031875,3.4,3.5555555555555554,4
2020-10-05T23:00:00.000Z,4,0,3.154230769230769,3.125625,3.6,3.6666666666666665,4
2020-10-06T23:00:00.000Z,4,0,3.135,3.25,3.8,3.7777777777777777,4
2020-10-07T23:00:00.000Z,4,0,3.1157692307692306,3.375,4,3.888888888888889,4
2020-10-08T23:00:00.000Z,4,0,3.173461538461538,3.5,4,4,4
2020-10-11T23:00:00.000Z,4,0,3.2311538461538456,3.625,4,4,4
2020-10-12T23:00:00.000Z,4,0,3.2888461538461535,3.75,4,4,4
2020-10-13T23:00:00.000Z,4,0,3.346538461538461,3.875,4,4,4
2020-10-14T23:00:00.000Z,4,0,3.404230769230769,4,4,4,4
2020-10-15T23:00:00.000Z,4,0,3.4619230769230764,4,4,4,4
2020-10-18T23:00:00.000Z,4,0,3.5384615384615383,4,4,4,4
2020-10-19T23:00:00.000Z,4,0,3.6153846153846154,4,4,4,4
2020-10-20T23:00:00.000Z,4,0,3.6923076923076925,4,4,4,4
2020-10-21T23:00:00.000Z,4,0,3.769230769230769,4,4,4,4
2020-10-22T23:00:00.000Z,4,0,3.8461538461538463,4,4,4,4
2020-10-26T00:00:00.000Z,4,0,3.923076923076923,4,4,4,4
2020-10-27T00:00:00.000Z,4,0,4,4,4,4,4
2020-10-28T00:00:00.000Z,4,0,4,4,4,4,4
2020-10-29T00:00:00.000Z,4,0,4,4,4,4,4
2020-10-30T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-02T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-03T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-04T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-05T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-06T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-09T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-10T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-11T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-12T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-13T00:00:00.000Z,4,0,4,4,4,4,4
2020-11-16T00:00:00.000Z,14,1,4,4,4,5.111111111111111,14
2020-11-17T00:00:00.000Z,14,0,4,4,4,6.222222222222222,14
2020-11-18T00:00:00.000Z,14,0,4,4,4,7.333333333333333,14
2020-11-19T00:00:00.000Z,14,0,4,4,6,8.444444444444445,14
