time,close,fractal,gatorJaw,gatorTeeth,gatorLips,sma,smma
2020-04-06T23:00:00.000Z,5.5,-1,4.90075,5.4775375,5.570960000000001,5.454444444444444,5.5
2020-04-07T23:00:00.000Z,5.93,0,4.9469038461538455,5.5537875,5.42196,5.486666666666666,5.93
2020-04-08T23:00:00.000Z,6.38,0,4.9867,5.614725000000001,5.36415,5.537777777777778,6.38
2020-04-12T23:00:00.000Z,6.62,0,5.0597730769230775,5.4940999999999995,5.3441600000000005,5.658888888888889,6.62
2020-04-13T23:00:00.000Z,7,0,5.089965384615383,5.497637500000001,5.448160000000001,5.825555555555556,7
2020-04-14T23:00:00.000Z,7.08,1,5.167465384615384,5.494137500000001,5.62565,6.038888888888888,7.08
2020-04-15T23:00:00.000Z,6.65,0,5.233676923076923,5.499762500000001,5.89165,6.207777777777777,6.65
2020-04-16T23:00:00.000Z,6.37,-1,5.34393076923077,5.546962499999999,6.18771,6.342222222222222,6.37
2020-04-19T23:00:00.000Z,6.64,1,5.426238461538462,5.64134375,6.500710000000001,6.463333333333333,6.64
2020-04-20T23:00:00.000Z,6.56,0,5.51316153846154,5.851793750000001,6.69071,6.5811111111111105,6.56
2020-04-21T23:00:00.000Z,6.55,0,5.618926923076923,6.07523125,6.78072,6.6499999999999995,6.55
2020-04-22T23:00:00.000Z,6.52,0,5.647003846153845,6.29273125,6.82972,6.665555555555555,6.52
2020-04-23T23:00:00.000Z,6.25,-1,5.763050000000001,6.432318749999999,6.761,6.624444444444445,6.25
2020-04-26T23:00:00.000Z,6.42,1,5.88128076923077,6.5698187500000005,6.648999999999999,6.5600000000000005,6.42
2020-04-27T23:00:00.000Z,6.4,0,5.957819230769232,6.6723187500000005,6.617,6.484444444444444,6.4
2020-04-28T23:00:00.000Z,6.32,0,6.021484615384616,6.714824999999999,6.575,6.447777777777778,6.32
2020-04-29T23:00:00.000Z,6.18,0,6.098411538461539,6.746075,6.536499999999999,6.426666666666666,6.18
