timestamp,open,high,low,close,volume
2020-12-29T20:45:00.000Z,168.065,168.21,168.065,168.14,2728
2020-12-29T20:44:00.000Z,168.1,168.26,167.75,167.75,3986
2020-12-29T20:43:00.000Z,167.76,168.17,167.6,168.12,2561
2020-12-29T20:42:00.000Z,168.03,168.04,167.47,167.63,5159
2020-12-29T20:41:00.000Z,168.43,168.43,167.9,168.01,2845
2020-12-29T20:40:00.000Z,167.93,168.64,167.9,168.58,3076
2020-12-29T20:39:00.000Z,167.54,167.96,167.4,167.96,2850
2020-12-29T20:38:00.000Z,168.065,168.08,167.61,167.61,2087
2020-12-29T20:37:00.000Z,168.15,168.34,168.025,168.08,4605
2020-12-29T20:36:00.000Z,168.285,168.29,167.73,168.08,3205
2020-12-29T20:35:00.000Z,168.095,168.28,168.095,168.205,2864
2020-12-29T20:34:00.000Z,167.54,167.98,167.51,167.98,1808
2020-12-29T20:33:00.000Z,167.04,167.42,167.04,167.42,904
2020-12-29T20:32:00.000Z,167.25,167.25,166.66,166.94,1403
2020-12-29T20:31:00.000Z,166.98,167.42,166.98,167.21,2043
2020-12-29T20:30:00.000Z,166.74,166.94,166.74,166.92,860
2020-12-29T20:29:00.000Z,166.64,166.74,166.61,166.72,1439
2020-12-29T20:28:00.000Z,166.12,166.52,166.12,166.52,325
2020-12-29T20:27:00.000Z,166.42,166.42,166,166.03,2086
2020-12-29T20:26:00.000Z,166.25,166.54,166.1,166.54,1383
2020-12-29T20:25:00.000Z,166.74,166.74,166.32,166.41,2514
2020-12-29T20:24:00.000Z,166.67,166.67,166.66,166.66,318
2020-12-29T20:23:00.000Z,166.39,167.18,166.39,166.72,4783
2020-12-29T20:22:00.000Z,166.34,166.53,166.255,166.295,1895
2020-12-29T20:21:00.000Z,166.38,166.5,166.34,166.45,1430
2020-12-29T20:20:00.000Z,165.99,166.37,165.98,166.37,1336
2020-12-29T20:19:00.000Z,165.945,165.95,165.795,165.87,1641
