timestamp,open,high,low,close,volume
2020-11-04,2.1800,2.2200,2.0500,2.1300,2064074
2020-11-03,2.1100,2.1900,2.0700,2.1600,2601763
2020-11-02,2.0900,2.1700,2.0701,2.1100,3165554
2020-10-30,1.9300,2.1800,1.8700,2.1800,4815205
2020-10-29,1.8500,1.9700,1.8500,1.9500,1335994
2020-10-28,1.9200,1.9700,1.8500,1.8500,2024289
2020-10-27,1.9400,2.0400,1.9000,2.0100,2772724
2020-10-26,1.9400,1.9800,1.9000,1.9200,1489472
2020-10-23,2.1000,2.1500,1.9200,1.9300,2468598
2020-10-22,2.3600,2.3630,2.0000,2.0300,6771547
2020-10-21,2.0000,2.3200,1.9900,2.2400,10587196
2020-10-20,1.9000,1.9800,1.8900,1.9600,1379121
2020-10-19,1.9100,1.9350,1.8881,1.9000,1009491
2020-10-16,1.9100,1.9100,1.8600,1.8900,735616
2020-10-15,1.8700,1.9100,1.8500,1.8800,1157808
2020-10-14,1.9900,2.0400,1.8700,1.8800,1800621
2020-10-13,1.9400,2.0400,1.9200,1.9900,2113438
2020-10-12,1.9400,1.9900,1.8800,1.9400,1310349
2020-10-09,1.9800,1.9900,1.9000,1.9600,1027281
2020-10-08,1.9400,2.0100,1.8800,1.9700,1640429
2020-10-07,1.9200,1.9289,1.8700,1.9000,471081
2020-10-06,1.9300,1.9600,1.8600,1.9100,897203
2020-10-05,1.8600,1.8900,1.8400,1.8900,454741
2020-10-02,1.8600,1.8900,1.8400,1.8700,633272
2020-10-01,1.8700,1.9389,1.8600,1.9000,442595
2020-09-30,1.9400,1.9400,1.8600,1.8700,598214
2020-09-29,1.9000,1.9600,1.8700,1.9300,585961
2020-09-28,1.9900,2.0100,1.9000,1.9400,768063
2020-09-25,1.8600,2.0300,1.8400,2.0000,3111845
2020-09-24,1.8500,1.8900,1.8100,1.8700,1076218
2020-09-23,1.9000,1.9136,1.8500,1.8700,683089
2020-09-22,1.9400,1.9600,1.8500,1.9000,750774
2020-09-21,1.8500,1.9700,1.8500,1.9600,2041967
2020-09-18,1.9000,1.9300,1.8100,1.8600,5555659
2020-09-17,1.9000,1.9100,1.8300,1.8800,3402303
2020-09-16,1.9230,1.9400,1.8600,1.8900,6046215
2020-09-15,1.9700,1.9700,1.9100,1.9400,700395
2020-09-14,2.0000,2.0100,1.9400,1.9700,1062404
2020-09-11,2.0100,2.0100,1.9400,2.0000,1303322
2020-09-10,2.0600,2.0600,1.9700,2.0200,1623551
2020-09-09,2.0400,2.0800,2.0000,2.0600,1362763
2020-09-08,1.9500,2.0500,1.8600,2.0300,2014736
2020-09-04,1.9700,2.0000,1.8000,1.9200,2245242
2020-09-03,1.9900,2.0280,1.9600,1.9900,1322611
2020-09-02,2.0500,2.0900,1.9800,2.0400,1532809
2020-09-01,2.0700,2.1200,1.9800,2.0800,2162696
2020-08-31,2.1700,2.2900,2.0000,2.0100,4806921
2020-08-28,1.8700,2.0000,1.8700,1.9700,2128024
2020-08-27,1.9200,1.9400,1.8600,1.8800,923230
2020-08-26,1.9300,1.9500,1.8700,1.9400,1252436
2020-08-25,1.9200,1.9750,1.8400,1.9700,1327397
2020-08-24,1.9600,1.9600,1.8800,1.9100,2033692
2020-08-21,2.0000,2.0492,1.9500,1.9700,1003104
2020-08-20,2.0200,2.0700,1.9800,2.0200,772448
2020-08-19,2.0100,2.1400,1.9500,2.0300,2307291
2020-08-18,2.1300,2.1300,2.0000,2.0100,2074358
2020-08-17,2.1500,2.2200,2.0700,2.1000,2547022
2020-08-14,2.1700,2.3200,2.1000,2.1000,2836187
2020-08-13,2.0300,2.1700,2.0250,2.1400,2025732
2020-08-12,2.1809,2.1809,1.9900,2.0200,3313742
2020-08-11,2.3000,2.3200,2.1300,2.1400,2823078
2020-08-10,2.4500,2.4795,2.2300,2.3400,2173118
2020-08-07,2.5400,2.5500,2.2900,2.3800,3603058
2020-08-06,2.6200,2.6736,2.5000,2.6200,2935254
2020-08-05,2.7400,2.7500,2.5700,2.6400,2871993
2020-08-04,2.7400,2.7400,2.3100,2.5800,6247977
2020-08-03,2.6200,3.0500,2.5500,2.7400,13434589
2020-07-31,2.6800,2.6900,2.5000,2.5000,4031737
2020-07-30,2.5500,2.7000,2.5200,2.7000,3354210
