timestamp,open,high,low,close,volume
1584025500,1.262,1.262,1.262,1.262,1E+1,1
1584032760,1.24143,1.25835,1.24142,1.25835,919.64561,5
1584033180,1.24825,1.24825,1.24825,1.24825,287.4264,1
1584033360,1.23825,1.23825,1.23825,1.23825,1E+1,1
1584034380,1.25212,1.25213,1.25212,1.25213,467.18416,2
1584038940,1.2514,1.2514,1.2514,1.2514,229.4865,2
1584041400,1.24059,1.24059,1.24059,1.24059,146.577,1
1584041640,1.25419,1.25899,1.25419,1.25899,397.71609475,3
1584044280,1.25,1.25,1.25,1.25,1E+1,1
1584045240,1.243,1.243,1.243,1.243,2E+1,1
1584045420,1.24854,1.24854,1.24854,1.24854,230.01224,2
1584046260,1.23373,1.23373,1.23373,1.23373,232.77336,1
1584046380,1.23372,1.23372,1.23372,1.23372,57.708,1
1584046620,1.25046,1.25047,1.25046,1.25047,98.1375,2
1584046680,1.24851,1.25709,1.24851,1.25709,382.0547,2
1584047220,1.23745,1.23745,1.23745,1.23745,101,2
1584050280,1.24072,1.24072,1.24072,1.24072,166.8017,1
1584050460,1.24996,1.24996,1.24996,1.24996,2E+1,1
1584051000,1.24979,1.24979,1.24979,1.24979,167.8907,1
1584055380,1.25278,1.25278,1.25194,1.25241,3870.49287,15
1584055440,1.25536,1.25536,1.25054,1.25054,2464.9518,22
1584055620,1.23659,1.23802,1.23659,1.23801,573.56883,4
1584055680,1.23802,1.24969,1.23802,1.24969,67.2083,2
1584055740,1.24943,1.26,1.24943,1.25504,4101.1332,29
1584055800,1.25504,1.25504,1.25128,1.25422,3821.951,29
1584055860,1.25045,1.25045,1.24857,1.24857,2999.5236,29
1584056220,1.25389,1.25389,1.25389,1.25389,70.3031,2
1584056580,1.23556,1.23556,1.23556,1.23556,36.7994,1
1584056820,1.2336,1.2336,1.21987,1.2229,587.6996,8
1584056880,1.2363,1.2363,1.23592,1.23592,287.8063,2
1584056940,1.25308,1.25356,1.25308,1.25356,671.9501,2
1584057000,1.22199,1.25352,1.22199,1.25352,529.553,4
1584057120,1.2535,1.26,1.25,1.25535,14635.61942,83
1584057180,1.25352,1.25364,1.25026,1.25364,6572.13333146,42
1584057240,1.25026,1.25026,1.248,1.24986,2594.5129,26
1584057300,1.25339,1.25705,1.25339,1.25705,1814.4984,18
1584057360,1.25705,1.25705,1.25705,1.25705,193.5627,2
1584057480,1.25742,1.25742,1.25742,1.25742,41.6999,1
1584057540,1.25767,1.25767,1.25767,1.25767,589.7901,11
1584057600,1.25418,1.2574,1.25415,1.2574,879.7575,14
1584057660,1.2574,1.2574,1.2574,1.2574,1601.9955,12
1584057720,1.25332,1.25332,1.25332,1.25332,42.1171,1
1584057780,1.25293,1.25293,1.25292,1.25292,41.7644,2
1584057840,1.25219,1.25219,1.25218,1.25218,204.2952,2
1584057960,1.25239,1.25239,1.25211,1.25211,331.0454,2
1584058020,1.25237,1.25237,1.25237,1.25237,731.33734,3
1584058080,1.25209,1.25209,1.25209,1.25209,231.659,3
1584058140,1.25235,1.25235,1.25235,1.25235,1367.1243,8
1584058200,1.25612,1.2582,1.25254,1.25254,737.0955,5
1584058260,1.25707,1.25707,1.25707,1.25707,1144.8009,4
1584058320,1.25139,1.25139,1.25139,1.25139,582.6813,7
1584058380,1.25139,1.25139,1.25093,1.25093,679.7356,2
1584058560,1.2544,1.25442,1.2544,1.25442,1126.5038,8
1584058620,1.25066,1.25066,1.25066,1.25066,429.4166,3
1584058680,1.25066,1.25066,1.25039,1.25039,476.2367,4
1584058740,1.25039,1.25039,1.25039,1.25039,1615.7435,5
1584058800,1.25039,1.25039,1.25012,1.25012,652.8424,6
1584058860,1.25013,1.25013,1.25012,1.25012,979.0225,5
1584058980,1.24883,1.24883,1.24683,1.24683,1457.3327,16
1584059040,1.24684,1.24932,1.24682,1.24683,2031.204,5
1584059100,1.24711,1.24932,1.24711,1.24932,197.0905,6
1584059160,1.24932,1.24932,1.24932,1.24932,56.2576,3
1584059220,1.24932,1.24932,1.24932,1.24932,37.505,2
1584059460,1.24917,1.24917,1.24917,1.24917,1651.6941,3
1584059520,1.24892,1.24892,1.24842,1.24842,260.8418,2
1584059580,1.24842,1.24911,1.24833,1.24911,5991.0583,19
1584059760,1.24915,1.24915,1.24915,1.24915,1677.7676,5
1584059880,1.2493,1.2493,1.2493,1.2493,1613.9531,13
1584059940,1.24956,1.24956,1.24918,1.24918,4579.06,26
1584060000,1.24918,1.24918,1.24918,1.24918,1094.5541,3
1584060060,1.24974,1.24974,1.24633,1.24633,592.2535,5
1584060120,1.24633,1.24633,1.24633,1.24633,132.547,1
1584060240,1.24636,1.24798,1.24636,1.24798,154.6388,2
1584060300,1.2486,1.2486,1.2486,1.2486,1709.45938594,3
1584060360,1.24895,1.25075,1.24861,1.24888,7153.4185,31
